Variable,Date,Value,Unit
Electrical_Conductivity_20degC,17/07/23,5440,µS/cm
Nitrate,17/07/23,104,mg/l NO3
Phosphate,17/07/23,0.64,mg PO4/L
Electrical_Conductivity_20degC,27/07/23,5710,µS/cm
Nitrate,27/07/23,115,mg/l NO3
Phosphate,27/07/23,0.54,mg PO4/L
Electrical_Conductivity_20degC,01/08/23,5650,µS/cm
Nitrate,01/08/23,103,mg/l NO3
Phosphate,01/08/23,0.58,mg PO4/L
Electrical_Conductivity_20degC,07/08/23,5420,µS/cm
Nitrate,07/08/23,93,mg/l NO3
Phosphate,07/08/23,0.55,mg PO4/L
Electrical_Conductivity_20degC,17/08/23,6080,µS/cm
Nitrate,17/08/23,120,mg/l NO3
Phosphate,17/08/23,0.49,mg PO4/L
Electrical_Conductivity_20degC,21/08/23,6640,µS/cm
Nitrate,21/08/23,142,mg/l NO3
Phosphate,21/08/23,0.46,mg PO4/L
Electrical_Conductivity_20degC,03/09/23,6697,µS/cm
Nitrate,03/09/23,95.8,mg/l NO3
Phosphate,03/09/23,0.8,mg PO4/l
Electrical_Conductivity_20degC,03/09/23,5926,µS/cm
Nitrate,03/09/23,91,mg/l NO3
Phosphate,03/09/23,0.67,mg PO4/l
Electrical_Conductivity_20degC,03/09/23,6145,µS/cm
Nitrate,03/09/23,95.2,mg/l NO3
Phosphate,03/09/23,0.7,mg PO4/l
Electrical_Conductivity_20degC,04/09/23,4340,µS/cm
Nitrate,04/09/23,51,mg/l NO3
Phosphate,04/09/23,0.43,mg PO4/L
Electrical_Conductivity_20degC,13/09/23,5850,µS/cm
Nitrate,13/09/23,108,mg/l NO3
Phosphate,13/09/23,0,mg PO4/L
Electrical_Conductivity_20degC,20/09/23,5700,µS/cm
Nitrate,20/09/23,86,mg/l NO3
Phosphate,20/09/23,0,mg PO4/L
Electrical_Conductivity_20degC,27/09/23,6110,µS/cm
Nitrate,27/09/23,122,mg/l NO3
Phosphate,27/09/23,0,mg PO4/L
Electrical_Conductivity_20degC,02/10/23,6970,µS/cm
Nitrate,02/10/23,159,mg/l NO3
Phosphate,02/10/23,0,mg PO4/L
Electrical_Conductivity_20degC,09/10/23,6650,µS/cm
Nitrate,09/10/23,144,mg/l NO3
Phosphate,09/10/23,0,mg PO4/L
Electrical_Conductivity_20degC,18/10/23,5830,µS/cm
Nitrate,18/10/23,114,mg/l NO3
Phosphate,18/10/23,0,mg PO4/L
Electrical_Conductivity_20degC,26/10/23,6030,µS/cm
Nitrate,26/10/23,122,mg/l NO3
Phosphate,26/10/23,0,mg PO4/L
Nitrate,08/11/23,89,mg/l NO3
Phosphate,08/11/23,0.43,mg PO4/L
Electrical_Conductivity_20degC,08/11/23,5160,µS/cm
Electrical_Conductivity_20degC,13/11/23,5580,µS/cm a 20 ºC
Nitrate,13/11/23,112,mg/l NO3
Phosphate,13/11/23,0,mg PO4/l
Electrical_Conductivity_20degC,23/11/23,6670,µS/cm
Nitrate,23/11/23,151,mg/l NO3
Phosphate,23/11/23,0,mg PO4/l
Electrical_Conductivity_20degC,27/11/23,6050,µS/cm a 20 ºC
Nitrate,27/11/23,128,mg/l NO3
Phosphate,27/11/23,0,mg PO4/l
Electrical_Conductivity_20degC,04/12/23,6240,µS/cm
Nitrate,04/12/23,139,mg/l NO3
Phosphate,04/12/23,0,mg PO4/l
Electrical_Conductivity_20degC,13/12/23,5320,µS/cm
Nitrate,13/12/23,101,mg/l NO3
Phosphate,13/12/23,0,mg PO4/l
Electrical_Conductivity_20degC,19/12/23,5200,µS/cm
Nitrate,19/12/23,102,mg/l NO3
Phosphate,19/12/23,0.49,mg PO4/L
Electrical_Conductivity_20degC,26/12/23,6410,µS/cm
Nitrate,26/12/23,153,mg/l NO3
Phosphate,26/12/23,0,mg PO4/L
Electrical_Conductivity_20degC,04/01/24,5580,µS/cm
Nitrate,04/01/24,113,mg/l NO3
Phosphate,04/01/24,0,mg PO4/L
Electrical_Conductivity_20degC,10/01/24,5420,µS/cm
Nitrate,10/01/24,103,mg/l NO3
Phosphate,10/01/24,0,mg PO4/L
Electrical_Conductivity_20degC,17/01/24,5470,µS/cm
Nitrate,17/01/24,106,mg NO3/l
Phosphate,17/01/24,0.61,mg/l PO4
Electrical_Conductivity_20degC,23/01/24,6890,µS/cm
Nitrate,23/01/24,167,mg NO3/l
Phosphate,23/01/24,0,mg/l PO4
Electrical_Conductivity_20degC,05/02/24,6250,µS/cm
Nitrate,05/02/24,141,mg NO3/l
Phosphate,05/02/24,0.46,mg/l PO4
Electrical_Conductivity_20degC,12/02/24,5970,µS/cm
Nitrate,12/02/24,132,mg NO3/l
Phosphate,12/02/24,0.68,mg/l PO4
Electrical_Conductivity_20degC,21/02/24,6580,µS/cm
Nitrate,21/02/24,147,mg NO3/l
Phosphate,21/02/24,0.43,mg/l PO4
Nitrate,27/02/24,136,mg NO3/l
Phosphate,27/02/24,0,mg/l PO4
Electrical_Conductivity_20degC,04/03/24,6400,µS/cm
Nitrate,04/03/24,142,mg NO3/l
Phosphate,04/03/24,0,mg/l PO4
Electrical_Conductivity_20degC,12/03/24,5760,µS/cm
Nitrate,12/03/24,118,mg NO3/l
Phosphate,12/03/24,0.49,mg/l PO4
Electrical_Conductivity_20degC,18/03/24,6320,µS/cm
Nitrate,18/03/24,155,mg NO3/l
Electrical_Conductivity_20degC,03/04/24,5430,µS/cm
Nitrate,03/04/24,99,mg NO3/l
Electrical_Conductivity_20degC,09/04/24,6090,µS/cm
Nitrate,09/04/24,132,mg NO3/l
Nitrate,18/04/24,108,mg NO3/l
Nitrate,25/04/24,112,mg NO3/l
Nitrate,02/05/24,80,mg NO3/l
Nitrate,09/05/24,66,mg NO3/l
Nitrate,14/05/24,91,mg NO3/l
Electrical_Conductivity_20degC,30/05/24,5470,µS/cm
Nitrate,30/05/24,94,mg NO3/l
Phosphate,30/05/24,0.61,mg/l PO4
Electrical_Conductivity_20degC,30/05/24,8080,µS/cm
Electrical_Conductivity_20degC,12/06/24,5785,µS/cm
Nitrate,12/06/24,73.1,mg NO3/l
Phosphate,12/06/24,0.86,mg PO4/L
Electrical_Conductivity_20degC,12/06/24,5504,µS/cm
Nitrate,12/06/24,63.7,mg NO3/l
Phosphate,12/06/24,1.1,mg PO4/L
Electrical_Conductivity_20degC,12/06/24,5307,µS/cm
Nitrate,12/06/24,47,mg NO3/l
Phosphate,12/06/24,1.1,mg PO4/L
Electrical_Conductivity_20degC,13/06/24,1074,µS/cm
Nitrate,13/06/24,22.4,mg NO3/l
Phosphate,13/06/24,0.89,mg/l PO4
Electrical_Conductivity_20degC,13/06/24,1767,µS/cm
Nitrate,13/06/24,28.9,mg NO3/l
Phosphate,13/06/24,2.4,mg PO4/L
Electrical_Conductivity_20degC,17/06/24,5500,µS/cm
Nitrate,17/06/24,119,mg/L NO3
Phosphate,17/06/24,0.47,mg PO4/L
Electrical_Conductivity_20degC,20/06/24,6100,µS/cm
Nitrate,20/06/24,134,mg NO3/l
Phosphate,20/06/24,0.49,mg/l PO4
Electrical_Conductivity_20degC,26/06/24,6110,µS/cm
Nitrate,26/06/24,125,mg NO3/l
Phosphate,26/06/24,0,mg/l PO4
Electrical_Conductivity_20degC,04/07/24,5730,µS/cm
Nitrate,04/07/24,100,mg NO3/l
Phosphate,04/07/24,0.52,mg/l PO4
Electrical_Conductivity_20degC,09/07/24,6380,µS/cm
Nitrate,09/07/24,119,mg/L NO3
Phosphate,09/07/24,0.4,mg PO4/L
Electrical_Conductivity_20degC,15/07/24,5930,µS/cm
Nitrate,15/07/24,97,mg NO3/l
Phosphate,15/07/24,0.64,mg/l PO4
Electrical_Conductivity_20degC,22/07/24,5960,µS/cm
Nitrate,22/07/24,94,mg NO3/l
Phosphate,22/07/24,0.58,mg/l PO4
Electrical_Conductivity_20degC,29/07/24,6650,µS/cm
Nitrate,29/07/24,131,mg NO3/l
Phosphate,29/07/24,0.52,mg/l PO4
Electrical_Conductivity_20degC,07/08/24,6120,µS/cm
Nitrate,07/08/24,120,mg/L NO3
Phosphate,07/08/24,0.28,mg PO4/L
Nitrate,12/08/24,156,mg NO3/l
Phosphate,12/08/24,0,mg/l PO4
Electrical_Conductivity_20degC,19/08/24,6150,µS/cm
Nitrate,19/08/24,106,mg NO3/l
Phosphate,19/08/24,0.61,mg/l PO4
Electrical_Conductivity_20degC,26/08/24,5870,µS/cm
Nitrate,26/08/24,90,mg NO3/l
Phosphate,26/08/24,0.61,mg/l PO4
Electrical_Conductivity_20degC,04/09/24,5070,µS/cm
Nitrate,04/09/24,110,mg/L NO3
Phosphate,04/09/24,0.32,mg PO4/L
Electrical_Conductivity_20degC,09/09/24,6710,µS/cm
Nitrate,09/09/24,110,mg NO3/l
Phosphate,09/09/24,0,mg/l PO4
Electrical_Conductivity_20degC,16/09/24,6440,µS/cm
Nitrate,16/09/24,122,mg NO3/l
Phosphate,16/09/24,0,mg/l PO4
Electrical_Conductivity_20degC,23/09/24,6660,µS/cm
Nitrate,23/09/24,118,mg NO3/l
Phosphate,23/09/24,0.31,mg/l PO4
Electrical_Conductivity_20degC,03/10/24,7300,µS/cm
Nitrate,03/10/24,165,mg/L NO3
Phosphate,03/10/24,0.34,mg PO4/L
Electrical_Conductivity_20degC,08/10/24,7030,µS/cm
Nitrate,08/10/24,143,mg NO3/l
Phosphate,08/10/24,0.26,mg/l PO4
Electrical_Conductivity_20degC,14/10/24,6810,µS/cm
Nitrate,14/10/24,136,mg NO3/l
Phosphate,14/10/24,0.24,mg/l PO4
Electrical_Conductivity_20degC,15/10/24,7534,µS/cm
Nitrate,15/10/24,128,mg/l NO3
Phosphate,15/10/24,0.37,mg PO4/l
Electrical_Conductivity_20degC,15/10/24,7475,µS/cm
Nitrate,15/10/24,138,mg/l NO3
Phosphate,15/10/24,0.4,mg PO4/l
Electrical_Conductivity_20degC,21/10/24,5600,µS/cm
Nitrate,21/10/24,94,mg NO3/l
Phosphate,21/10/24,0.49,mg/l PO4
Electrical_Conductivity_20degC,28/10/24,6390,µS/cm
Nitrate,28/10/24,135,mg NO3/l
Phosphate,28/10/24,0.25,mg/l PO4
Electrical_Conductivity_20degC,29/10/24,6500,µS/cm
Nitrate,29/10/24,94,mg NO3/l
Nitrate,29/10/24,110,mg/l NO3
Phosphate,29/10/24,0.55,mg/l PO4
Phosphate,29/10/24,0.83,mg PO4/l
Electrical_Conductivity_20degC,29/10/24,3243,µS/cm
Nitrate,29/10/24,50.5,mg/l NO3
Phosphate,29/10/24,0.67,mg PO4/l
Electrical_Conductivity_20degC,05/11/24,4820,µS/cm
Nitrate,05/11/24,84,mg/L NO3
Phosphate,05/11/24,0,mg PO4/L
Electrical_Conductivity_20degC,11/11/24,5090,µS/cm
Nitrate,11/11/24,98,mg NO3/l
Phosphate,11/11/24,0.74,mg/l PO4
Electrical_Conductivity_20degC,03/12/24,6090,µS/cm
Nitrate,03/12/24,153,mg/L NO3
Phosphate,03/12/24,0.54,mg PO4/L
Electrical_Conductivity_20degC,11/12/24,6830,µS/cm
Nitrate,11/12/24,164,mg NO3/l
Phosphate,11/12/24,0,mg/l PO4
Electrical_Conductivity_20degC,16/12/24,6760,µS/cm
Nitrate,16/12/24,167,mg NO3/l
Phosphate,16/12/24,0,mg/l PO4
Electrical_Conductivity_20degC,23/12/24,5970,µS/cm
Nitrate,23/12/24,122,mg NO3/l
Phosphate,23/12/24,0.46,mg/l PO4
Electrical_Conductivity_20degC,30/12/24,6670,µS/cm
Nitrate,30/12/24,154,mg NO3/l
Phosphate,30/12/24,0,mg/l PO4
Electrical_Conductivity_20degC,07/01/25,5740,µS/cm
Nitrate,07/01/25,129,mg/L NO3
Phosphate,07/01/25,0.7,mg PO4/L
Nitrate,13/01/25,152,mg NO3/l
Phosphate,13/01/25,0,mg/l PO4
Electrical_Conductivity_20degC,20/01/25,5950,µS/cm
Nitrate,20/01/25,130,mg NO3/l
Phosphate,20/01/25,0.61,mg/l PO4
Electrical_Conductivity_20degC,27/01/25,5780,µS/cm
Nitrate,27/01/25,119,mg NO3/l
Phosphate,27/01/25,0.36,mg/l PO4
Electrical_Conductivity_20degC,04/02/25,5960,µS/cm
Nitrate,04/02/25,135,mg/L NO3
Phosphate,04/02/25,0.32,mg PO4/L
Electrical_Conductivity_20degC,10/02/25,6530,µS/cm
Nitrate,10/02/25,154,mg NO3/l
Phosphate,10/02/25,0.27,mg/l PO4
Electrical_Conductivity_20degC,17/02/25,6240,µS/cm
Nitrate,17/02/25,132,mg NO3/l
Phosphate,17/02/25,0,mg/l PO4
Electrical_Conductivity_20degC,24/02/25,5620,µS/cm
Nitrate,24/02/25,109,mg NO3/l
Phosphate,24/02/25,0.52,mg/l PO4
Electrical_Conductivity_20degC,03/03/25,1430,µS/cm
Nitrate,03/03/25,32.7,mg/L NO3
Phosphate,03/03/25,1.04,mg PO4/L
Electrical_Conductivity_20degC,10/03/25,6320,µS/cm
Nitrate,10/03/25,153,mg NO3/l
Phosphate,10/03/25,0.43,mg/l PO4
Electrical_Conductivity_20degC,17/03/25,6030,µS/cm
Nitrate,17/03/25,133,mg NO3/l
Phosphate,17/03/25,0.45,mg/l PO4
Electrical_Conductivity_20degC,24/03/25,5750,µS/cm
Nitrate,24/03/25,121,mg NO3/l
Phosphate,24/03/25,0.51,mg/l PO4
Electrical_Conductivity_20degC,01/04/25,6660,µS/cm
Nitrate,01/04/25,184,mg/L NO3
Phosphate,01/04/25,0.18,mg PO4/L
Electrical_Conductivity_20degC,01/04/25,5660,µS/cm
Electrical_Conductivity_20degC,07/04/25,6090,µS/cm
Nitrate,07/04/25,118,mg NO3/l
Phosphate,07/04/25,0,mg/l PO4
Nitrate,14/04/25,129,mg NO3/l
Phosphate,14/04/25,0.7,mg/l PO4
Nitrate,21/04/25,144,mg NO3/l
Phosphate,21/04/25,0.39,mg/l PO4
Nitrate,28/04/25,118,mg NO3/l
Phosphate,28/04/25,0.54,mg/l PO4
Electrical_Conductivity_20degC,08/05/25,6180,µS/cm
Nitrate,08/05/25,141,mg/L NO3
Phosphate,08/05/25,0.6,mg PO4/L
Nitrate,12/05/25,142,mg NO3/l
Phosphate,12/05/25,0.44,mg/l PO4
Nitrate,19/05/25,106,mg NO3/l
Phosphate,19/05/25,0.7,mg/l PO4
Nitrate,26/05/25,92,mg NO3/l
Phosphate,26/05/25,0.74,mg/l PO4
Electrical_Conductivity_20degC,02/06/25,6880,µS/cm
Nitrate,02/06/25,133,mg/L NO3
Phosphate,02/06/25,0.41,mg PO4/L
Nitrate,11/06/25,102,mg NO3/l
Phosphate,11/06/25,0.56,mg/l PO4
Nitrate,16/06/25,87,mg NO3/l
Phosphate,16/06/25,0.8,mg/l PO4
Nitrate,23/06/25,88,mg NO3/l
Phosphate,23/06/25,0.52,mg/l PO4
Electrical_Conductivity_20degC,23/06/25,5460,µS/cm
Nitrate,23/06/25,89.2,mg NO3/l
Phosphate,23/06/25,0.21,mg PO4/L
Electrical_Conductivity_20degC,02/07/25,5840,µS/cm
Nitrate,02/07/25,99,mg/L NO3
Phosphate,02/07/25,0.51,mg PO4/L
Electrical_Conductivity_20degC,07/07/25,6530,µS/cm
Nitrate,07/07/25,93,mg NO3/l
Phosphate,07/07/25,0.77,mg/l PO4
Electrical_Conductivity_20degC,14/07/25,5700,µS/cm
Nitrate,14/07/25,86,mg NO3/l
Phosphate,14/07/25,0.85,mg/l PO4
Electrical_Conductivity_20degC,21/07/25,5860,µS/cm
Nitrate,21/07/25,88,mg NO3/l
Phosphate,21/07/25,0.68,mg/l PO4
Electrical_Conductivity_20degC,23/07/25,4650,µS/cm
Nitrate,23/07/25,75.6,mg NO3/l
Phosphate,23/07/25,0.19,mg PO4/L
Electrical_Conductivity_20degC,28/07/25,5250,µS/cm
Nitrate,28/07/25,74,mg NO3/l
Phosphate,28/07/25,0.62,mg/l PO4
Electrical_Conductivity_20degC,11/08/25,6060,µS/cm
Nitrate,11/08/25,98,mg NO3/l
Phosphate,11/08/25,0.38,mg/l PO4
Electrical_Conductivity_20degC,11/08/25,6140,µS/cm
Nitrate,11/08/25,103,mg/L NO3
Phosphate,11/08/25,0.68,mg PO4/L
Electrical_Conductivity_20degC,19/08/25,6020,µS/cm
Nitrate,19/08/25,93,mg NO3/l
Phosphate,19/08/25,0.28,mg/l PO4
Electrical_Conductivity_20degC,21/08/25,5530,µS/cm
Nitrate,21/08/25,86,mg NO3/l
Phosphate,21/08/25,0.28,mg PO4/L
Electrical_Conductivity_20degC,25/08/25,5720,µS/cm
Nitrate,25/08/25,86,mg NO3/l
Phosphate,25/08/25,0.52,mg/l PO4
Electrical_Conductivity_20degC,08/09/25,6020,µS/cm
Nitrate,08/09/25,100,mg NO3/l
Phosphate,08/09/25,0.26,mg/l PO4
Electrical_Conductivity_20degC,09/09/25,5020,µS/cm
Nitrate,09/09/25,101,mg NO3/l
Phosphate,09/09/25,0.29,mg PO4/L
Electrical_Conductivity_20degC,17/09/25,6790,µS/cm
Nitrate,17/09/25,132,mg NO3/l
Phosphate,17/09/25,0.15,mg/l PO4
Electrical_Conductivity_20degC,17/09/25,6800,µS/cm
Nitrate,17/09/25,142,mg/L NO3
Phosphate,17/09/25,0.18,mg PO4/L
Electrical_Conductivity_20degC,22/09/25,5620,µS/cm
Nitrate,22/09/25,84,mg NO3/l
Phosphate,22/09/25,0.45,mg/l PO4
Electrical_Conductivity_20degC,29/09/25,5530,µS/cm
Nitrate,29/09/25,88,mg NO3/l
Phosphate,29/09/25,0.51,mg/l PO4
Electrical_Conductivity_20degC,06/10/25,5360,µS/cm
Nitrate,06/10/25,126,mg/L NO3
Phosphate,06/10/25,0,mg PO4/L
Electrical_Conductivity_20degC,13/10/25,3780,µS/cm
Nitrate,13/10/25,80,mg NO3/l
Phosphate,13/10/25,0.46,mg/l PO4
Electrical_Conductivity_20degC,20/10/25,4370,µS/cm
Nitrate,20/10/25,92,mg NO3/l
Phosphate,20/10/25,0.33,mg/l PO4
Electrical_Conductivity_20degC,23/10/25,3150,µS/cm
Nitrate,23/10/25,61.6,mg NO3/l
Phosphate,23/10/25,0.22,mg PO4/L
Electrical_Conductivity_20degC,27/10/25,4660,µS/cm
Nitrate,27/10/25,91,mg NO3/l
Phosphate,27/10/25,0.4,mg/l PO4
Electrical_Conductivity_20degC,10/11/25,6170,µS/cm
Nitrate,10/11/25,151,mg NO3/l
Phosphate,10/11/25,0.44,mg/l PO4
Electrical_Conductivity_20degC,17/11/25,6010,µS/cm
Nitrate,17/11/25,138,mg NO3/l
Phosphate,17/11/25,0.58,mg/l PO4
Electrical_Conductivity_20degC,17/11/25,5040,µS/cm
Nitrate,17/11/25,124,mg NO3/l
Phosphate,17/11/25,0.54,mg PO4/L
Electrical_Conductivity_20degC,24/11/25,6230,µS/cm
Nitrate,24/11/25,149,mg NO3/l
Phosphate,24/11/25,0.65,mg/l PO4
