Parameter;Date;Unit;Value
Phosphate;09/07/2024;mg/L;0.4
Conductivity_20C;15/07/2024;µS/cm;5930
Nitrate;15/07/2024;mg NO3/l;97
Phosphate;15/07/2024;mg/l PO4;0.64
Conductivity_20C;22/07/2024;µS/cm;5960
Nitrate;22/07/2024;mg NO3/l;94
Phosphate;22/07/2024;mg/l PO4;0.58
Conductivity_20C;29/07/2024;µS/cm;6650
Nitrate;29/07/2024;mg NO3/l;131
Phosphate;29/07/2024;mg/l PO4;0.52
Conductivity_20C;07/08/2024;µS/cm;6120
Nitrate;07/08/2024;mg/L;120
Phosphate;07/08/2024;mg/L;0.28
Nitrate;12/08/2024;mg NO3/l;156
Phosphate;12/08/2024;mg/l PO4;0
Conductivity_20C;19/08/2024;µS/cm;6150
Nitrate;19/08/2024;mg NO3/l;106
Phosphate;19/08/2024;mg/l PO4;0.61
Conductivity_20C;26/08/2024;µS/cm;5870
Nitrate;26/08/2024;mg NO3/l;90
Phosphate;26/08/2024;mg/l PO4;0.61
Conductivity_20C;04/09/2024;µS/cm;5070
Nitrate;04/09/2024;mg/L;110
Phosphate;04/09/2024;mg/L;0.32
Conductivity_20C;09/09/2024;µS/cm;6710
Nitrate;09/09/2024;mg NO3/l;110
Phosphate;09/09/2024;mg/l PO4;0
Conductivity_20C;16/09/2024;µS/cm;6440
Nitrate;16/09/2024;mg NO3/l;122
Phosphate;16/09/2024;mg/l PO4;0
Conductivity_20C;23/09/2024;µS/cm;6660
Nitrate;23/09/2024;mg NO3/l;118
Phosphate;23/09/2024;mg/l PO4;0.31
Conductivity_20C;03/10/2024;µS/cm;7300
Nitrate;03/10/2024;mg/L;165
Phosphate;03/10/2024;mg/L;0.34
Conductivity_20C;08/10/2024;µS/cm;7030
Nitrate;08/10/2024;mg NO3/l;143
Phosphate;08/10/2024;mg/l PO4;0.26
Conductivity_20C;14/10/2024;µS/cm;6810
Nitrate;14/10/2024;mg NO3/l;136
Phosphate;14/10/2024;mg/l PO4;0.24
Conductivity_20C;21/10/2024;µS/cm;5600
Nitrate;21/10/2024;mg NO3/l;94
Phosphate;21/10/2024;mg/l PO4;0.49
Conductivity_20C;28/10/2024;µS/cm;6390
Nitrate;28/10/2024;mg NO3/l;135
Phosphate;28/10/2024;mg/l PO4;0.25
Nitrate;29/10/2024;mg NO3/l;94
Phosphate;29/10/2024;mg/l PO4;0.55
Conductivity_20C;05/11/2024;µS/cm;4820
Nitrate;05/11/2024;mg/L;84
Phosphate;05/11/2024;mg/L;0
Conductivity_20C;11/11/2024;µS/cm;5090
Nitrate;11/11/2024;mg NO3/l;98
Phosphate;11/11/2024;mg/l PO4;0.74
Conductivity_20C;03/12/2024;µS/cm;6090
Nitrate;03/12/2024;mg/L;153
Phosphate;03/12/2024;mg/L;0.54
Conductivity_20C;11/12/2024;µS/cm;6830
Nitrate;11/12/2024;mg NO3/l;164
Phosphate;11/12/2024;mg/l PO4;0
Conductivity_20C;16/12/2024;µS/cm;6760
Nitrate;16/12/2024;mg NO3/l;167
Phosphate;16/12/2024;mg/l PO4;0
Conductivity_20C;23/12/2024;µS/cm;5970
Nitrate;23/12/2024;mg NO3/l;122
Phosphate;23/12/2024;mg/l PO4;0.46
Conductivity_20C;30/12/2024;µS/cm;6670
Nitrate;30/12/2024;mg NO3/l;154
Phosphate;30/12/2024;mg/l PO4;0
Nitrate;13/01/2025;mg NO3/l;152
Phosphate;13/01/2025;mg/l PO4;0
Conductivity_20C;20/01/2025;µS/cm;5950
Nitrate;20/01/2025;mg NO3/l;130
Phosphate;20/01/2025;mg/l PO4;0.61
Conductivity_20C;27/01/2025;µS/cm;5780
Nitrate;27/01/2025;mg NO3/l;119
Phosphate;27/01/2025;mg/l PO4;0.36
